"Feature name","Baseline status","Chrome Availability Status","Chrome Availability Version","Chrome Availability Date","Edge Availability Status","Edge Availability Version","Edge Availability Date","Firefox Availability Status","Firefox Availability Version","Firefox Availability Date","Safari Availability Status","Safari Availability Version","Safari Availability Date","Chrome Android Availability Status","Chrome Android Availability Version","Chrome Android Availability Date","Firefox Android Availability Status","Firefox Android Availability Version","Firefox Android Availability Date","Safari iOS Availability Status","Safari iOS Availability Version","Safari iOS Availability Date","Chrome WPT Stable Score","Edge WPT Stable Score","Firefox WPT Stable Score","Safari WPT Stable Score","Chrome Android WPT Stable Score","Firefox Android WPT Stable Score","Safari iOS WPT Stable Score","Chrome WPT Experimental Score","Edge WPT Experimental Score","Firefox WPT Experimental Score","Safari WPT Experimental Score","Chrome Android WPT Experimental Score","Firefox Android WPT Experimental Score","Safari iOS WPT Experimental Score","Chrome Usage","Developer Upvotes"
"Voluptate22","newly","available","9","2022-03-16","available","6","2021-03-19","available","2","2020-01-20","available","1","2020-01-09","available","14","2024-01-09","available","2","2020-01-17","unavailable","","","0.500739645","0.502392344","0.416932907","0.217910448","0.438087105","0.631278539","0.671328671","0.772577997","0","468"
"Voluptas23","newly","available","12","2023-01-26","available","6","2021-03-19","available","23","2026-08-09","unavailable","","","available","4","2020-08-23","available","10","2023-04-08","available","9","2022-05-29","0.422205438","0.446366782","0.736027515","0.8156956","0.423794712","0.389786684","0.703","0.53593179","0.7207","485"
"Veniam20","newly","unavailable","","","available","14","2023-09-30","unavailable","","","available","1","2020-01-09","available","4","2020-08-23","available","5","2021-01-12","available","1","2020-01-07","0.487883683","0.706362153","0.412983425","0.797373358","0.326869806","0.065822785","0.423967774","0.781802864","0.974",""
"Vel67","widely","available","7","2021-07-19","available","4","2020-07-20","available","18","2024-10-25","available","27","2027-09-15","available","23","2027-04-24","available","3","2020-04-22","available","22","2026-01-09","0.813659359","0.205658324","0.312849162","0.426086957","0.283751011","0.507261411","0.828767123","0.412462908","0.00001","760"
"Ut47","newly","available","1","2020-01-13","available","28","2028-07-06","available","14","2023-09-10","unavailable","","","available","12","2023-04-18","available","2","2020-01-17","unavailable","","","0.871428571","0.440191388","0.861830743","0.43030303","0.572232645","0.231707317","0.513888889","0.502008032","0.00001","72"
"Ut39","newly","available","27","2027-06-28","available","20","2025-10-14","available","8","2021-11-25","available","2","2020-01-30","available","3","2020-03-18","available","9","2022-10-28","unavailable","","","0.437694704","0.522633745","0.343551797","0.534185659","0.160949868","0.597504924","0.711864407","0.234693878","0.162",""
"Tenetur25","widely","available","7","2021-07-19","unavailable","","","available","1","2020-01-22","available","2","2020-01-30","available","8","2021-12-20","available","10","2023-04-08","available","5","2021-02-03","0.563899868","0.505072077","0.719785139","0.274766355","0.349159248","0.063218391","0.481584821","0.827092511","0","706"
"Suscipit49","widely","available","14","2023-08-30","available","4","2020-07-20","unavailable","","","available","3","2020-07-08","available","14","2024-01-09","available","5","2021-01-12","available","3","2020-06-11","0.786375105","0.357072206","0.07587769","0.505034446","0.392592593","0.264108352","0.46311971","0.806788512","0.00001","579"
"Suscipit41","newly","available","8","2021-11-21","available","3","2020-05-07","available","12","2023-01-18","available","3","2020-07-08","unavailable","","","unavailable","","","available","2","2020-01-15","0.199275362","0.537822878","0.431637032","0.432142857","0.45172181","0.915821501","0.664021164","0.892857143","0.00001","194"
"Sapiente33","newly","available","7","2021-07-19","available","20","2025-10-14","available","12","2023-01-18","available","4","2020-11-24","unavailable","","","available","7","2021-11-24","available","15","2024-03-15","0.486518874","0.246192893","0.921311475","0.538998098","0.565420561","0.637393768","0.255358807","0.543307087","0","841"
"Rerum26","newly","available","10","2022-06-05","available","25","2027-07-19","available","2","2020-01-20","available","8","2022-01-19","unavailable","","","available","3","2020-04-22","available","1","2020-01-07","0.669444444","0.539035981","0.400457666","0.349862259","0.350246653","0.952727273","0.743291592","0.903422983","","605"
"Ratione74","newly","available","1","2020-01-13","unavailable","","","available","4","2020-07-25","available","14","2023-09-17","available","20","2026-01-31","available","1","2020-01-30","available","12","2023-04-04","0.387118194","0.447254781","0.73705834","0.418867925","0.211221122","0.293913043","0.370901639","0.446428571","0.00001","481"
"Popover","newly","available","2","2020-01-05","available","7","2021-06-21","available","18","2024-10-25","available","9","2022-06-11","unavailable","","","available","2","2020-01-17","available","6","2021-06-14","0.743137255","0.56263048","0.688542825","0.411938099","0.507936508","0.498248687","0.009443861","0.76340694","0.8638","52"
"Nisi24","widely","available","9","2022-03-16","available","22","2026-06-16","available","18","2024-10-25","unavailable","","","available","5","2020-12-15","available","17","2025-07-23","available","3","2020-06-11","0.272394881","0.292907801","0.887912088","0.97616468","0.314800313","0.252212389","0.666666667","0.478744939","0.5925","569"
"Nihil45","newly","available","11","2022-11-01","available","6","2021-03-19","available","1","2020-01-22","unavailable","","","available","2","2020-01-04","available","3","2020-04-22","available","3","2020-06-11","0.315359477","0.138834951","0.39619883","0.364766082","0.895705521","0.475308642","0.61900369","0.48420448","0.0674",""
"Natus68","widely","unavailable","","","available","10","2022-06-01","available","11","2022-10-20","available","6","2021-04-18","available","3","2020-03-18","available","7","2021-11-24","available","5","2021-02-03","0.407120743","0.414983713","0.273451327","0.579576817","0.899224806","0.489969605","0.617456897","0.446038677","","946"
"Input Date Time","newly","unavailable","","","available","4","2020-07-20","available","16","2024-03-18","available","1","2020-01-09","available","21","2026-06-05","available","26","2028-07-02","available","5","2021-02-03","0.722374429","0.867114094","0.915285451","0.805333333","0.988188976","0.29154519","0.938172043","0.789552239","","237"
"Impedit42","newly","available","13","2023-05-12","unavailable","","","available","8","2021-11-25","available","2","2020-01-30","available","5","2020-12-15","available","21","2026-08-28","unavailable","","","0.268995633","0.326566637","0.677313677","0.299539171","0.016771488","0.959493671","0.59644503","0.525619835","0.6683","772"
"Explicabo31","newly","available","12","2023-01-26","unavailable","","","available","4","2020-07-25","available","26","2027-04-14","available","8","2021-12-20","available","25","2028-03-08","available","2","2020-01-15","0.347047113","0.517808219","0.569444444","0.59569378","0.714810282","0.52976639","0.50448833","0.4107683","0.00001","765"
